model_id,task_id,signature,n,k_passed,pass_rate,wilson_lo,wilson_hi,effect_size_mean,effect_size_sd,unstable,n_untestable,n_attempted,note
gpt-5.4-nano,effort_foraging,harvest_rt_speedup,10,2,0.2,0.0567,0.5098,-0.0407,0.191,True,0,10,
gpt-5.4-nano,effort_foraging,travel_cost_residence_effect,4,0,0.0,0.0,0.4899,-0.0125,0.025,False,6,10,
gpt-5.4-nano,grid_bandit,above_chance_reward,10,2,0.2,0.0567,0.5098,0.0845,0.1344,True,0,10,
gpt-5.4-nano,grid_bandit,kraken_avoidance_in_risky,10,4,0.4,0.1682,0.6873,-0.224,0.1569,True,0,10,
gpt-5.4-nano,grid_bandit,value_directed_exploitation,10,4,0.4,0.1682,0.6873,-0.169,0.1599,True,0,10,
gpt-5.4-nano,grid_bandit,within_block_learning,10,5,0.5,0.2366,0.7634,0.1471,0.0629,True,0,10,
gpt-5.4-nano,grid_bandit,within_block_rt_speedup,10,2,0.2,0.0567,0.5098,-0.1013,0.0876,True,0,10,
gpt-5.4-nano,marbles_risk,above_chance_ev_optimal,10,1,0.1,0.0179,0.4042,-0.0038,0.1727,True,0,10,
gpt-5.4-nano,marbles_risk,ev_difference_rt_effect,5,0,0.0,0.0,0.4345,0.0274,0.1416,False,5,10,
gpt-5.4-nano,marbles_risk,ev_sensitivity,5,1,0.2,0.0362,0.6245,0.1683,0.1802,True,5,10,
gpt-5.4-nano,marbles_risk,magnitude_effect_high_payoff,5,1,0.2,0.0362,0.6245,0.121,0.089,True,5,10,
gpt-5.4-nano,moral_machine,age_preference_save_young,3,0,0.0,0.0,0.5615,-0.0444,0.1895,False,7,10,
gpt-5.4-nano,moral_machine,intervention_aversion,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
gpt-5.4-nano,moral_machine,legality_preference_save_lawful,3,0,0.0,0.0,0.5615,-0.1111,0.2546,False,7,10,
gpt-5.4-nano,moral_machine,species_preference_save_human,3,0,0.0,0.0,0.5615,-0.0424,0.1677,False,7,10,
gpt-5.4-nano,moral_machine,utilitarian_preference,3,3,1.0,0.4385,1.0,0.5,0.0,False,7,10,
gpt-5.4-nano,phishing_detection_v2,above_chance_discrimination,10,10,1.0,0.7225,1.0,0.6435,0.1006,False,0,10,
gpt-5.4-nano,phishing_detection_v2,above_chance_overall,10,10,1.0,0.7225,1.0,0.3233,0.0487,False,0,10,
gpt-5.4-nano,phishing_detection_v2,learning_effect,2,0,0.0,0.0,0.6576,0.0,0.0,False,8,10,
gpt-5.4-nano,phishing_detection_v2,practice_rt_speedup,10,0,0.0,0.0,0.2775,0.4518,0.2059,False,0,10,
gpt-5.4-nano,random_dot_motion_v2,above_chance_low_coherence,3,0,0.0,0.0,0.5615,0.0269,0.0988,False,7,10,
gpt-5.4-nano,random_dot_motion_v2,above_chance_overall,7,0,0.0,0.0,0.3543,0.0634,0.1748,False,3,10,
gpt-5.4-nano,random_dot_motion_v2,coherence_accuracy_psychometric,3,0,0.0,0.0,0.5615,0.0302,0.1757,False,7,10,
gpt-5.4-nano,random_dot_motion_v2,coherence_rt_chronometric,3,0,0.0,0.0,0.5615,-0.0492,0.1111,False,7,10,
gpt-5.4-nano,repeated_games,above_chance_coordination_bos,4,0,0.0,0.0,0.4899,-0.05,0.0333,False,6,10,
gpt-5.4-nano,repeated_games,cooperation_when_opp_cooperated,0,0,,,,,,False,10,10,untestable in every session — no pass rate is defined
gpt-5.4-nano,repeated_games,round_rt_speedup,4,2,0.5,0.15,0.85,-0.3289,0.1696,True,6,10,
gpt-5.4-nano,repeated_games,tit_for_tat_reciprocity_pd,1,0,0.0,0.0,0.7935,-0.1667,0.0,False,9,10,
gpt-5.4-nano,serial_recall_v2,above_chance_recall,10,3,0.3,0.1078,0.6032,0.1313,0.1678,True,0,10,
gpt-5.4-nano,serial_recall_v2,high_vs_low_sim_advantage,10,0,0.0,0.0,0.2775,0.175,0.2058,False,0,10,
gpt-5.4-nano,serial_recall_v2,primacy_effect,10,2,0.2,0.0567,0.5098,0.2,0.2776,True,0,10,
gpt-5.4-nano,serial_recall_v2,similarity_aids_recall,8,0,0.0,0.0,0.3244,0.1434,0.2192,False,2,10,
gpt-5.4-nano,serial_recall_v2,similarity_rt_effect,10,0,0.0,0.0,0.2775,0.0449,0.2218,False,0,10,
