sweep,repeat_index,model_id,task_id,signature,testable,untestable_reason,score,passed,p_value,effect_size,direction_correct
random_floor_v12_20260726_201120,1,random,serial_recall_v2,above_chance_recall,True,,0.0,False,1.0,-0.05,False
random_floor_v12_20260726_201120,1,random,serial_recall_v2,similarity_aids_recall,True,,0.0,False,,,False
random_floor_v12_20260726_201120,1,random,serial_recall_v2,high_vs_low_sim_advantage,True,,0.0,False,1.0,0.0,False
random_floor_v12_20260726_201120,1,random,serial_recall_v2,similarity_rt_effect,True,,0.0,False,0.8295948873953203,0.2548498648385896,False
random_floor_v12_20260726_201120,1,random,serial_recall_v2,primacy_effect,True,,0.0,False,1.0,0.0,False
random_floor_v12_20260726_201120,1,random,marbles_risk,ev_sensitivity,True,,0.0,False,0.770314417100556,-0.09413500525490569,False
random_floor_v12_20260726_201120,1,random,marbles_risk,above_chance_ev_optimal,True,,0.0,False,0.740520998405174,-0.033333333333333326,False
random_floor_v12_20260726_201120,1,random,marbles_risk,magnitude_effect_high_payoff,True,,0.0,False,0.8660693022001194,-0.14058171149554427,False
random_floor_v12_20260726_201120,1,random,marbles_risk,ev_difference_rt_effect,True,,0.5,False,0.18550935475304375,-0.11369855260168792,True
random_floor_v12_20260726_201120,1,random,tiny_alchemy,above_chance_discovery,True,,0.0,False,0.9999999520782962,-0.28750000000000003,False
random_floor_v12_20260726_201120,1,random,tiny_alchemy,non_redundant_attempts,True,,0.0,False,0.9999997076386679,-0.275,False
random_floor_v12_20260726_201120,1,random,moral_machine,utilitarian_preference,True,,0.0,False,0.828125,-0.09999999999999998,False
random_floor_v12_20260726_201120,1,random,moral_machine,age_preference_save_young,True,,0.0,False,0.623046875,0.0,False
random_floor_v12_20260726_201120,1,random,moral_machine,species_preference_save_human,True,,0.5,False,0.376953125,0.09999999999999998,True
random_floor_v12_20260726_201120,1,random,moral_machine,legality_preference_save_lawful,True,,0.0,False,0.984375,-0.33333333333333337,False
random_floor_v12_20260726_201120,1,random,random_dot_motion_v2,coherence_accuracy_psychometric,True,,0.0,False,0.9411766794352253,-0.1574746860447231,False
random_floor_v12_20260726_201120,1,random,random_dot_motion_v2,coherence_rt_chronometric,True,,0.5,False,0.2184755854044173,-0.1232081791150255,True
random_floor_v12_20260726_201120,1,random,random_dot_motion_v2,above_chance_low_coherence,True,,0.0,False,0.6820859986855794,-0.025000000000000022,False
random_floor_v12_20260726_201120,1,random,random_dot_motion_v2,above_chance_overall,True,,0.0,False,0.9556869599429663,-0.08000000000000002,False
random_floor_v12_20260726_201120,1,random,phishing_detection_v2,above_chance_discrimination,True,,0.0,False,0.6666666666666666,-0.06666666666666665,False
random_floor_v12_20260726_201120,1,random,phishing_detection_v2,learning_effect,True,,0.0,False,0.855336368234699,-0.3,False
random_floor_v12_20260726_201120,1,random,phishing_detection_v2,above_chance_overall,True,,0.0,False,0.740520998405174,-0.033333333333333326,False
random_floor_v12_20260726_201120,1,random,phishing_detection_v2,practice_rt_speedup,True,,0.5,False,0.4004210880590369,-0.033256866798673054,True
random_floor_v12_20260726_201120,1,random,visual_recognition,above_chance_discrimination,True,,0.5,False,0.06346826586706647,0.13999999999999996,True
random_floor_v12_20260726_201120,1,random,visual_recognition,above_chance_accuracy,True,,0.5,False,0.0966739522478214,0.06999999999999995,True
random_floor_v12_20260726_201120,1,random,visual_recognition,low_false_alarm_rate,True,,0.5,False,0.3359055168826828,-0.03999999999999998,True
random_floor_v12_20260726_201120,1,random,effort_foraging,travel_cost_residence_effect,True,,0.5,False,0.4999999999999999,0.025000000000000022,True
random_floor_v12_20260726_201120,1,random,effort_foraging,above_chance_mvt_match,True,,0.5,False,0.10925901973935187,0.07499999999999996,True
random_floor_v12_20260726_201120,1,random,effort_foraging,above_chance_total_reward,True,,0.5,False,0.28821531309419657,0.03749999999999998,True
random_floor_v12_20260726_201120,1,random,effort_foraging,harvest_rt_speedup,True,,0.0,False,0.7422542335532146,0.07376880077131058,False
random_floor_v12_20260726_201120,2,random,grid_bandit,kraken_avoidance_in_risky,True,,0.0,False,0.6320605995715596,0.020000000000000018,False
random_floor_v12_20260726_201120,2,random,grid_bandit,value_directed_exploitation,True,,0.5,False,0.41602929782842474,-0.02158469051705153,True
random_floor_v12_20260726_201120,2,random,grid_bandit,above_chance_reward,True,,0.0,False,0.5878433924473958,0.0,False
random_floor_v12_20260726_201120,2,random,grid_bandit,within_block_learning,True,,0.0,False,0.6524109911942944,-0.037778494515969985,False
random_floor_v12_20260726_201120,2,random,grid_bandit,within_block_rt_speedup,True,,0.0,False,0.9999717672512742,0.3741985422428437,False
random_floor_v12_20260726_201120,2,random,repeated_games,tit_for_tat_reciprocity_pd,True,,0.5,False,0.296037296037296,0.2916666666666667,True
random_floor_v12_20260726_201120,2,random,repeated_games,above_chance_coordination_bos,True,,0.5,False,0.4999999999999999,0.033333333333333326,True
random_floor_v12_20260726_201120,2,random,repeated_games,cooperation_when_opp_cooperated,True,,0.5,False,0.5,0.125,True
random_floor_v12_20260726_201120,2,random,repeated_games,round_rt_speedup,True,,0.5,False,0.26829694199363247,-0.11742382035421364,True
random_floor_v12_20260726_201120,2,random,serial_recall_v2,above_chance_recall,True,,0.0,False,1.0,-0.05,False
random_floor_v12_20260726_201120,2,random,serial_recall_v2,similarity_aids_recall,True,,0.0,False,,,False
random_floor_v12_20260726_201120,2,random,serial_recall_v2,high_vs_low_sim_advantage,True,,0.0,False,1.0,0.0,False
random_floor_v12_20260726_201120,2,random,serial_recall_v2,similarity_rt_effect,True,,1.0,True,0.047864128049075375,-0.4308176286557111,True
random_floor_v12_20260726_201120,2,random,serial_recall_v2,primacy_effect,True,,0.0,False,1.0,0.0,False
random_floor_v12_20260726_201120,2,random,marbles_risk,ev_sensitivity,True,,0.0,False,0.8802180370029817,-0.1491250890252319,False
random_floor_v12_20260726_201120,2,random,marbles_risk,above_chance_ev_optimal,True,,0.0,False,0.8168529966483544,-0.04999999999999999,False
random_floor_v12_20260726_201120,2,random,marbles_risk,magnitude_effect_high_payoff,True,,0.0,False,0.9653104787471058,-0.22848324980618476,False
random_floor_v12_20260726_201120,2,random,marbles_risk,ev_difference_rt_effect,True,,0.0,False,0.7875542876123159,0.10148781186840859,False
random_floor_v12_20260726_201120,2,random,tiny_alchemy,above_chance_discovery,True,,0.0,False,0.9999999932667345,-0.32500000000000007,False
random_floor_v12_20260726_201120,2,random,tiny_alchemy,non_redundant_attempts,True,,0.0,False,0.999957407976493,-0.19999999999999996,False
random_floor_v12_20260726_201120,2,random,moral_machine,utilitarian_preference,True,,0.0,False,0.63671875,0.0,False
random_floor_v12_20260726_201120,2,random,moral_machine,age_preference_save_young,True,,0.0,False,0.8125,0.0,False
random_floor_v12_20260726_201120,2,random,moral_machine,species_preference_save_human,True,,0.0,False,0.828125,-0.09999999999999998,False
random_floor_v12_20260726_201120,2,random,moral_machine,legality_preference_save_lawful,True,,0.0,False,0.890625,-0.16666666666666669,False
random_floor_v12_20260726_201120,2,random,random_dot_motion_v2,coherence_accuracy_psychometric,True,,0.0,False,0.8239381238713699,-0.09402354859407533,False
random_floor_v12_20260726_201120,2,random,random_dot_motion_v2,coherence_rt_chronometric,True,,0.0,False,0.5781318704299229,0.027732134672907565,False
random_floor_v12_20260726_201120,2,random,random_dot_motion_v2,above_chance_low_coherence,True,,0.5,False,0.13409362552738457,0.09999999999999998,True
random_floor_v12_20260726_201120,2,random,random_dot_motion_v2,above_chance_overall,True,,0.5,False,0.31765382104383316,0.030000000000000027,True
random_floor_v12_20260726_201120,2,random,phishing_detection_v2,above_chance_discrimination,True,,0.0,False,0.743128435782109,-0.06666666666666665,False
random_floor_v12_20260726_201120,2,random,phishing_detection_v2,learning_effect,True,,0.5,False,0.5261569416498993,0.09999999999999998,True
random_floor_v12_20260726_201120,2,random,phishing_detection_v2,above_chance_overall,True,,0.0,False,0.740520998405174,-0.033333333333333326,False
random_floor_v12_20260726_201120,2,random,phishing_detection_v2,practice_rt_speedup,True,,0.5,False,0.39205283776466343,-0.03611794971943081,True
random_floor_v12_20260726_201120,2,random,visual_recognition,above_chance_discrimination,True,,0.5,False,0.2563718140929535,0.10000000000000003,True
